"group","KRT6A","SPRR1A","SPRR1B","KRT5","SPRR3","SFTA3","SFTA2","S100A7","NTS","DSG3","KRT14","DSC3","SERPINB3","GJB6","KRT17","SERPINB13","KRT6B","AKR1B10","PI3","SERPINB4","KRT13","GPR87","DAPL1","NAPSA","ADH7","CLCA2","SPINK1","AGR3","UPK1B","TOX3","LOC344887","FOLR1","FOXE1","C16orf89","S100A2","KRT15","MMP10","SERPINB2","KRT16","TRIM29","BNC1","SLC34A2","SFTPB","CYP4F3","PTPRZ1","PGC","CEACAM6","SOX2","MAGEA4","SOX2OT"
"1",1,3.7851,3.4868,3.6887,5.2021,4.7183,11.0888,10.6097,3.9976,4.4666,4.738,3.715,3.9774,4.2918,3.4082,4.4427,3.0951,6.562,4.4948,5.5981,3.2682,3.8664,3.2449,4.3741,12.3224,3.7173,3.8683,9.3957,7.7631,4.6275,9.3096,4.2838,9.5435,3.7979,10.0075,6.5904,4.2643,3.5922,3.5104,5.1224,5.7571,3.1051,8.1984,13.7089,4.1303,3.8568,13.3102,12.6471,6.3517,3.0247,3.1506
"2",1,10.2694,5.325,4.2544,4.9375,4.7385,8.0758,9.8477,11.3203,3.9508,4.5532,4.199,3.5867,4.2914,9.433,8.8982,3.1082,9.7809,5.0893,6.6552,3.3179,3.5506,7.9518,4.3679,9.9704,3.8139,3.7191,8.4625,8.3401,4.3342,8.3995,4.1269,9.8861,6.3695,8.0607,7.7197,6.9995,3.5565,3.2808,5.6194,8.4322,2.9462,7.4789,12.4462,4.5565,3.2954,6.6283,10.0694,5.2095,7.6807,2.9915
"3",1,5.1014,6.4275,4.653,5.8571,4.647,10.6526,10.9271,4.0915,3.6078,4.5408,4.7151,3.9342,6.1541,3.4338,5.9967,3.0788,6.8577,8.6172,5.2748,3.9098,3.8141,4.0957,4.4985,11.8037,4.2429,3.7266,6.0227,9.5085,4.5531,6.8948,7.6962,12.5673,3.3314,9.1437,8.1906,7.586,5.7342,4.8877,5.2602,6.1445,3.034,8.6719,13.8196,4.155,4.1178,10.9027,13.1643,5.0271,3.2048,3.1097
"4",1,3.8001,3.5606,3.447,5.0019,4.4754,10.2192,10.0496,3.7666,3.636,4.3334,4.0632,3.6755,4.0152,3.6496,4.9023,3.0524,6.4068,5.9617,5.6514,3.0401,3.7037,5.6752,4.7274,12.0614,3.9781,3.7134,5.6939,9.8102,4.3201,9.4688,4.1774,11.5564,3.3447,11.0899,7.5216,5.4353,4.2191,3.3502,5.0694,5.6235,3.1436,8.7599,13.067,3.7611,8.1473,5.1103,10.2627,6.3183,3.2965,3.1728
"5",1,5.7959,3.467,3.5782,5.4742,4.4372,10.4893,10.7407,3.8001,3.7332,4.2128,4.881,3.7964,4.2929,6.5815,4.5706,3.1126,7.1712,3.8232,6.05,3.0167,4.1203,6.3437,4.4174,12.6143,3.8764,3.6902,12.0772,9.811,4.0298,9.4629,3.9187,9.2658,3.8167,9.171,12.1399,8.5151,3.9553,3.852,5.8995,8.9052,3.0493,10.1452,13.5372,3.3901,4.1252,8.2061,13.1086,4.4792,3.1857,3.0675
"6",1,3.4857,3.5836,3.6623,5.0005,4.306,10.7271,11.4235,3.7201,4.1291,4.3908,4.4185,3.5316,4.0353,3.3014,4.566,3.009,6.6365,3.9856,5.0383,3.0175,3.3681,3.3604,4.4204,12.333,3.8893,3.5876,10.9295,12.4201,4.4551,11.7195,3.9631,7.8169,3.1424,6.7986,7.5491,8.0364,3.9194,3.3338,5.2118,5.4666,2.8753,10.402,11.9091,4.1767,9.7477,5.3466,12.4448,5.9846,3.3025,2.9917
"7",1,6.3923,3.5307,3.9881,5.2342,4.4944,11.2325,10.066,4.1843,11.4071,4.4622,3.6861,3.6369,4.1678,3.4622,7.3798,2.9925,7.1606,4.338,6.9074,3.0456,6.0043,3.7087,6.0494,13.0145,4.1522,3.5332,9.1261,10.0478,4.136,6.9963,4.1886,11.1444,3.3557,8.12,7.1592,8.2371,4.3586,4.0779,5.793,9.9163,3.0506,9.4313,13.4298,4.036,3.3407,12.6087,12.5644,4.8124,3.1806,2.8288
"8",1,3.3669,3.6738,3.4316,4.9859,4.4509,10.6152,10.6604,3.9924,3.8088,4.2645,3.7698,3.8796,8.2302,3.653,5.5552,2.8369,6.3158,7.8047,5.0324,5.6823,3.5353,3.6879,4.5661,9.7439,4.0709,3.4845,13.4101,6.6513,4.1436,10.4093,6.0387,7.3455,3.3304,10.1313,6.171,4.9949,4.3848,3.5759,4.7419,5.3287,3.0056,6.9051,13.2165,4.6323,6.6432,12.3494,10.9604,8.0633,3.0858,3.1527
"9",1,8.4347,8.9955,11.7277,4.8167,10.1455,9.2162,9.9192,4.5897,3.4318,4.2999,5.0233,3.6045,4.0393,7.17,4.3942,2.9755,8.3428,5.6446,5.6823,3.0522,3.4666,8.2873,4.1041,10.7965,3.6933,3.4631,8.2429,8.6662,4.171,8.9771,4.1324,6.9755,3.2344,5.1716,7.2897,6.145,4.3671,3.4566,5.3073,5.3452,3.0856,8.9631,9.9797,3.4636,3.2527,5.0501,11.4906,5.3689,3.135,2.989
"10",1,3.5869,3.8683,3.6352,5.1249,4.3288,10.9403,12.0644,3.6733,3.5683,4.4158,4.0022,3.6912,4.153,3.5669,4.629,2.9467,6.4032,5.7509,4.4877,3.1603,3.5185,3.842,4.3038,12.9818,3.9279,3.6444,9.9559,13.0122,4.5418,10.9515,4.6278,12.5982,4.6305,13.0714,7.7152,7.7678,3.6799,3.2832,4.7037,7.291,2.933,10.1363,13.6016,3.5641,3.3947,10.2444,13.4131,5.1933,3.2013,3.1102
"11",1,4.9336,3.5265,4.194,4.8393,4.5063,7.569,6.6715,10.8249,3.9227,4.549,3.8482,4.1819,4.0956,9.5495,6.0366,2.7968,6.7258,6.4529,7.9401,3.2192,3.7414,5.2015,4.0086,9.1807,3.7137,3.6598,4.4511,11.2591,9.3381,8.9122,4.1141,10.2967,8.2578,6.8724,5.5409,7.6152,3.625,3.4711,5.389,7.6766,3.0728,7.1389,11.7287,5.4605,6.9678,6.5112,12.2767,7.2394,5.3969,3.1907
"12",1,8.1538,3.5693,3.4846,5.1343,4.6518,3.0143,9.3177,12.3789,4.2978,4.1818,3.8929,3.6063,10.6189,4.0813,6.5766,3.0324,8.4092,10.896,8.641,9.8423,3.5503,7.3781,4.1749,5.6668,3.6032,3.6054,13.2754,3.6735,4.5968,7.1874,8.6271,10.2722,6.4359,5.0194,5.7485,5.8303,4.444,3.9223,6.7023,8.6315,2.9047,5.2801,5.3412,8.6054,3.2199,5.1153,11.023,5.0066,8.4141,2.7993
"13",1,4.0504,3.4342,3.5603,4.9902,4.1691,8.1169,8.7808,3.5118,7.3703,4.5117,3.7291,3.5793,4.1008,6.0834,5.9397,2.9092,6.3817,4.2162,5.3826,2.9886,3.4013,4.6243,4.7247,7.7985,4.0767,3.6645,9.7118,10.2519,4.1524,9.9092,4.3062,9.5914,5.0141,7.9038,7.6427,6.0837,5.6943,3.505,4.8447,6.1031,2.9602,6.5067,9.9436,3.359,8.0956,5.3798,13.7608,6.8752,4.8586,3.043
"14",1,5.1033,4.3332,3.4396,5.0004,4.4085,11.4224,11.6819,3.9223,3.7542,4.0877,3.9203,3.734,4.1413,3.4265,5.7508,2.8424,6.9361,6.6535,4.4953,3.0921,4.2161,3.4398,5.5921,11.2019,4.0186,3.4714,11.5472,12.7948,4.4752,6.2821,8.1987,12.5854,3.1958,11.841,7.0597,8.1867,3.6108,3.555,4.828,6.313,3.0107,6.9394,14.127,5.4712,3.3785,13.6165,13.235,4.734,3.1583,2.9046
"15",1,3.6944,5.8525,5.1493,6.1036,4.25,9.8529,9.2373,3.725,3.6118,4.4632,5.2604,3.6829,4.6906,3.3049,5.3922,2.9343,6.5831,4.047,5.7411,3.0943,3.7167,6.6577,4.6235,10.2309,3.9449,3.9441,9.2396,8.3271,3.9603,9.2822,3.9536,9.5031,4.7983,7.4579,7.9202,7.769,4.8491,3.6251,5.1911,7.1029,2.9414,8.6278,12.3895,3.479,4.5645,5.9871,11.52,5.7567,3.2173,3.0387
"16",1,4.2105,3.8374,3.6849,5.3692,4.896,9.9301,9.3831,4.1236,3.9268,4.3353,3.6803,3.652,4.3401,4.5914,6.1747,2.9435,6.5977,4.5889,8.9855,2.945,3.5746,5.2343,6.3592,11.5011,3.9842,3.8676,8.1601,11.0391,9.0223,8.8841,3.9024,9.6469,3.1962,9.1366,7.9602,6.1065,3.6974,4.6353,4.9861,6.8282,3.0197,8.7499,13.3116,4.3295,6.4922,8.1957,11.7989,7.0392,3.1862,3.0626
"17",1,3.5187,4.038,3.6355,4.9943,4.6064,11.3188,10.463,3.6652,3.6016,4.153,3.8468,3.5503,3.8761,3.4296,4.2505,2.9944,6.4529,3.9825,4.9119,3.1001,3.6614,3.3396,4.122,12.6061,3.7361,3.5515,12.9253,11.9486,4.3042,10.6299,4.2482,11.6391,3.4596,10.4276,5.4916,5.152,3.3434,3.5976,4.7398,6.144,2.9364,10.8604,13.7264,3.6831,5.3171,8.002,12.5489,7.7412,3.3793,4.0087
"18",1,3.7384,3.3482,3.5666,5.1678,4.3085,10.0236,9.5209,3.8722,4.3783,4.5194,4.2533,3.8259,4.2433,5.8116,4.9352,3.0173,6.5972,4.3597,4.9467,3.1411,4.0743,3.5535,4.9022,11.4552,3.7306,3.808,7.361,11.5767,4.2563,10.0296,4.0893,8.9776,3.2306,6.9934,7.86,6.9667,3.9735,3.6866,5.3045,5.6024,3.047,5.7519,11.9788,3.6767,9.0447,5.6549,11.8922,7.1966,3.2274,3.3958
"19",1,8.128,3.472,3.4769,4.7681,4.6274,11.0837,10.6268,4.0553,3.3951,4.1156,4.0359,3.7313,7.5879,3.249,6.2151,2.8728,7.5611,7.1123,6.1146,7.1326,3.7407,3.43,4.6353,12.4969,3.512,3.3919,5.7715,11.6819,4.0907,5.3481,4.6202,10.8686,3.3566,9.8155,7.5434,4.8339,3.5283,3.7918,4.7884,6.6527,3.1019,10.18,13.7108,4.4308,4.884,8.9603,10.569,4.8701,3.4247,3.1181
"20",1,3.3774,3.5355,3.7249,6.2332,4.2543,12.0448,11.4612,3.8111,4.3113,4.3108,4.2361,3.9486,6.4184,7.3543,4.5981,3.2972,6.35,6.4334,4.8914,3.4874,3.8869,3.7331,4.5179,12.5144,4.165,4.2505,4.5227,11.3433,4.5845,8.8994,4.0479,11.9424,4.4481,11.1837,7.3508,6.5906,3.514,4.3556,5.09,6.6995,2.9137,10.1922,13.4912,3.5007,7.0354,9.9433,12.5878,5.3997,3.1298,3.1925
"21",1,8.3483,3.8236,3.4114,4.8332,4.469,3.2703,10.5354,3.8119,10.9982,6.5383,4.0424,4.3555,6.1998,3.9198,9.6142,3.1094,8.6199,8.3198,7.4415,3.5503,3.5591,5.7848,4.0227,8.0063,3.9124,3.4522,8.7801,5.925,9.8982,3.4997,8.3841,10.8073,6.597,4.9663,6.1867,6.104,3.594,3.5585,7.2507,10.1954,3.4743,4.3976,8.9854,9.4788,3.3296,4.9981,5.8989,5.0669,4.8792,2.982
"22",1,3.8254,3.9279,4.2442,5.1194,4.9475,9.155,10.2282,4.0609,3.6264,4.2128,3.915,3.8273,3.8554,3.6507,4.5178,2.9625,6.6758,5.2801,4.9289,3.1003,3.5601,7.291,3.7792,11.2486,4.0276,3.2317,6.7514,7.6219,4.2022,8.2105,6.0801,8.9686,5.1293,9.7356,7.9947,7.5907,5.0113,4.2351,5.2987,6.0402,3.1854,8.55,9.32,3.8565,3.4721,5.2974,12.3675,4.6583,3.1418,3.1628
"23",1,5.0006,3.4037,3.5855,4.6516,4.2621,9.9245,9.0793,3.6268,5.3225,3.9983,3.8624,3.6156,4.5123,4.2108,5.0302,3.0841,6.4081,4.1953,4.6256,3.2112,3.4984,3.5341,4.3314,11.0653,3.8912,3.4609,6.9534,6.2358,4.2613,9.2581,3.963,5.6441,3.1894,7.3155,6.9028,5.0526,3.5021,3.4166,4.9309,5.108,2.9468,6.6826,13.3203,3.701,4.6395,10.366,9.7448,6.4855,3.318,2.9217
"24",1,3.7071,3.5185,3.3744,4.7204,4.7661,11.0584,11.7929,4.1619,3.5786,4.3039,4.5778,3.5774,3.9832,3.3384,7.1824,2.9901,6.6073,12.4218,4.9905,3.0749,3.889,3.4417,4.5342,12.2817,3.7127,3.6997,11.9751,11.0863,4.171,3.111,8.368,12.2356,3.5209,11.5158,6.061,8.0205,5.0552,3.4625,5.2854,7.3425,2.8477,10.0363,13.8119,5.8274,3.9102,11.0837,9.5608,4.6453,3.1653,2.9351
"25",1,3.4593,3.6118,4.6987,5.1719,4.3112,9.847,9.9798,3.7132,4.5925,4.2552,3.7796,3.5381,4.2187,3.4107,4.3264,2.9439,6.0134,4.1267,5.1035,3.1818,3.556,8.5187,4.2892,11.5091,3.587,3.5534,6.8006,9.9571,4.2849,6.0525,3.9881,9.1223,3.3202,8.5782,8.0501,5.3165,4.42,3.4892,4.7194,5.9085,3.0938,8.3193,12.9295,4.6841,3.5743,7.3125,9.7874,4.9354,3.1877,3.0408
"26",1,3.6852,5.8363,3.7604,4.9095,4.6112,9.4956,9.9438,3.8112,3.7062,4.3053,3.8147,3.6146,4.1942,3.4785,5.6726,3.0885,6.3918,4.8667,4.5442,2.9554,3.6101,6.0197,4.1568,10.4115,3.7331,3.4168,7.5051,10.9493,3.833,9.1756,4.1599,10.0007,3.1461,9.5817,7.9154,9.1496,3.4444,3.308,4.7248,6.4654,2.9353,9.514,11.039,3.4324,5.2312,5.1197,12.7011,7.2284,4.2099,3.3845
"27",1,7.2836,3.7544,4.9788,5.3123,5.3968,9.2508,10.8836,4.3112,4.0678,4.4229,3.9012,3.6608,4.9162,4.8215,8.3429,2.8671,8.1213,12.6713,5.7647,3.087,4.3378,3.9903,4.4051,11.4563,3.9504,3.2983,10.8007,11.0571,4.9745,9.6833,6.471,10.6888,3.209,8.4543,7.4104,6.9202,5.0307,3.5524,5.2087,6.6145,2.9409,9.1501,13.1746,4.2871,3.6955,6.8439,11.7114,5.7133,3.1703,2.9916
"28",1,3.3706,3.6281,6.3055,5.0947,4.3813,9.0359,12.1633,3.7678,3.422,4.3208,4.3587,6.024,4.3261,6.279,4.4051,3.1274,6.2979,4.947,4.9232,3.3227,3.5085,9.8464,4.1234,12.8587,3.6734,3.53,8.3822,3.8136,4.0514,8.7991,4.1379,4.8553,4.8377,6.1734,8.6438,7.4879,3.8793,4.0929,6.0752,5.9068,3.0025,9.1483,11.3796,6.0238,4.4386,5.005,13.3149,4.7302,3.2444,3.1754
"29",1,8.3452,9.5183,11.6803,11.3705,11.813,4.9707,4.8602,11.3101,4.3841,4.8346,7.6966,6.1567,10.6878,6.5837,8.9647,7.1433,8.7752,5.4023,13.2461,9.7326,5.9892,8.9342,10.1411,6.9446,4.975,5.1941,3.7936,6.0832,6.8579,6.0897,4.1164,6.4568,5.462,5.8651,11.8026,11.4452,10.8835,9.4751,6.2242,8.8755,3.1691,4.4823,10.2181,5.4854,10.5026,5.2192,11.8066,8.7193,8.0534,3.704
"30",1,3.6505,5.3263,4.0437,4.9515,7.704,7.7799,6.9252,3.7447,4.6635,4.3085,3.6956,3.5967,5.5669,6.6206,6.3907,3.0323,6.3864,11.6912,6.8632,3.271,3.5716,6.1746,4.3144,9.4918,6.0533,5.5326,4.4288,8.9118,9.5136,9.8049,8.6535,9.1862,5.0422,6.7926,6.3108,7.0269,6.899,3.5752,5.1523,6.8725,2.9897,8.7865,12.0073,9.5005,7.5568,6.1743,13.5249,7.6245,8.7706,3.2054
"31",1,5.5167,5.8786,4.5318,7.0362,5.5018,10.2532,10.503,5.1719,4.5524,4.842,7.0918,3.7025,6.7495,4.1715,5.4495,3.0572,7.2245,11.0068,4.9097,5.4083,4.7866,3.3767,5.3051,11.6651,3.9496,4.0739,14.0064,8.8465,4.352,8.5004,7.2058,11.7379,3.3053,10.628,7.5118,5.9046,3.4442,3.4782,5.4406,5.9214,3.152,4.5806,12.6608,5.0813,5.1999,11.9367,10.3053,6.4075,3.1233,2.8867
"32",1,3.5671,3.5052,3.5781,5.0279,4.2343,11.2131,11.7851,3.6661,4.4459,4.189,3.7696,3.8224,4.2649,6.1046,5.2471,2.8146,6.3365,8.7292,5.2261,3.0736,3.5838,3.4523,4.483,12.8895,5.8085,3.5504,13.6772,10.7821,4.2764,10.3952,4.8155,10.8432,3.2958,11.7768,6.624,5.6869,3.4504,3.5445,4.7917,5.1924,3.0366,7.9765,13.9491,3.6512,6.0159,13.0258,12.9823,6.6888,3.1779,3.0587
"33",1,5.0444,3.4126,3.4335,5.0764,4.3156,8.1584,4.3405,3.8425,3.6015,4.0179,4.3503,3.8368,4.2008,3.6756,7.1633,2.9306,6.5926,5.9977,4.6317,3.1146,3.6376,3.5771,6.2965,6.1829,3.9047,3.5228,7.9459,8.9085,4.3887,9.2388,4.3333,8.7201,3.9359,8.2532,6.9264,6.7806,5.4635,3.4781,5.1974,5.205,2.9583,8.1095,8.4609,3.5074,5.1292,5.1061,13.1766,8.6,3.2164,4.0418
